timestamp,lat,lon,alt,roll_body,pitch_body,yaw_body,roll_speed,pitch_speed,yaw_speed,actuators_output_0,actuators_output_1,actuators_output_2,actuators_output_3,actuators_output_4,actuators_output_5,actuators_output_6,actuators_output_7,actuators_output_8,actuators_output_9,actuators_output_10,actuators_output_11,sensor_gyro_rad_0,sensor_gyro_rad_1,sensor_gyro_rad_2,sensor_acc_0,sensor_acc_1,sensor_acc_2,cpuload
3260162397.0,47.39739955395457,8.548948996634998,60.56198,0.10134363,-0.7802274,-2.961143,0.033775717,0.040425,0.01508661,1719.0,1659.0,1683.0,1700.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,0.008274634,0.000897259,-0.0011000439,-7.629018,-2.0337465,-6.299324,0.33347797
3260562396.0,47.39736668798967,8.548940354686454,60.594208,0.11375912,-0.77603084,-2.9600794,0.04324241,-0.024661653,0.017374864,1696.0,1659.0,1664.0,1683.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,0.13632321,-0.08200074,0.006676083,-7.157793,-0.6782782,-7.5799747,0.3286705
3261162397.0,47.39731707746557,8.54892636324716,60.615116,0.12739633,-0.71449864,-2.961371,0.12419126,0.054319654,-0.0070168106,1651.0,1658.0,1704.0,1597.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,0.17648497,0.09286653,-0.022761589,-7.297142,-2.876672,-6.921714,0.34046274
3261562398.0,47.3972850499956,8.548917232410071,60.609356,0.11102695,-0.67422336,-2.962737,-0.011521411,0.10386863,0.006889022,1632.0,1613.0,1641.0,1611.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,0.15626296,0.110174514,-0.028198725,-6.888509,-0.1349302,-7.637348,0.333618
3262162396.0,47.39723891478124,8.548903032425486,60.595673,0.11315611,-0.61233014,-2.9693058,-0.09181812,0.10128801,0.005469314,1579.0,1622.0,1622.0,1610.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,0.045131516,0.06666,-0.02356505,-7.077339,-1.1338134,-7.461692,0.33760202
3262562397.0,47.39721078217408,8.548895431807995,60.60672,0.12500891,-0.5715724,-2.970812,0.07170158,0.11860438,-0.013536981,1602.0,1580.0,1591.0,1591.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,0.15433191,0.15735656,0.001203403,-6.4783435,0.67948264,-7.585575,0.333574
3263162396.0,47.39717328379498,8.548884982565815,60.622147,0.10506287,-0.5185827,-2.9752831,-0.08044687,0.17156062,-0.013105069,1580.0,1553.0,1582.0,1572.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,-0.089953415,0.10000665,-0.027174484,-6.330733,0.47519475,-8.206748,0.32742602
3263562397.0,47.39715083461639,8.548876452834097,60.61303,0.09021469,-0.46941063,-2.9877348,-0.11676153,0.09847858,-0.0702601,1548.0,1510.0,1519.0,1598.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,-0.14620078,0.11069647,-0.0556094,-5.0404058,0.5994943,-8.705992,0.35354
3264162397.0,47.39712019532234,8.548865896190424,60.588295,0.08631948,-0.3600661,-3.0251627,0.043158893,0.14971003,-0.059400436,1496.0,1562.0,1601.0,1479.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,-0.0071369046,0.15060931,-0.07111968,-4.7942247,-1.6761148,-8.188863,0.3512963
3264562396.0,47.39710233124202,8.548860478750747,60.59879,0.051175125,-0.27858952,-3.0603416,-0.10633416,0.11066371,-0.13290554,1500.0,1528.0,1546.0,1464.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,0.0698624,0.13240027,-0.10761748,-4.1515203,-0.058553576,-9.258319,0.34640092
3265162397.0,47.39707999875698,8.548857373496487,60.578556,0.068028994,-0.18515292,-3.0763037,-0.02780467,0.122700326,-0.022179892,1542.0,1474.0,1547.0,1500.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,-0.1988103,0.26093996,-0.010269765,-4.1453424,-0.008873284,-10.325199,0.350384
3265562396.0,47.397068828413474,8.548854034986695,60.614017,0.06880802,-0.14952114,-3.1252296,-0.1438862,0.086180784,-0.21541375,1456.0,1412.0,1508.0,1630.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,-0.21584648,-0.0027782912,-0.19652635,-3.091648,-1.4348099,-9.342272,0.34242332
3266162396.0,47.39705660699367,8.548848134002887,60.643196,0.19218932,-0.077276304,-2.8246226,0.33837205,0.15660542,0.7654787,1665.0,1625.0,1331.0,1372.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,0.32538143,0.18473469,0.793119,-2.0705116,0.3074136,-8.76232,0.37673277
3266562397.0,47.3970519714626,8.5488425910869,60.66942,0.3225219,-0.21536261,-2.5104344,0.33085585,-0.08277953,1.0201094,1639.0,1568.0,1422.0,1458.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,0.43756685,-0.08614396,0.9928176,-1.5546534,-0.4805214,-9.702414,0.35249197
3267162399.0,47.39704882895177,8.548824512925064,60.70114,0.31984124,-0.41514,-1.9669738,0.118920155,-0.07756428,0.91070545,1555.0,1605.0,1488.0,1549.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,0.21119435,-0.07666744,0.8842659,-2.1497629,-0.85218096,-10.257001,0.36483598
3267562396.0,47.39704961447062,8.548808239434203,60.709602,0.2527835,-0.4278023,-1.7404817,0.19982061,0.21462244,0.77483755,1636.0,1512.0,1533.0,1538.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,-0.08945747,0.31006145,0.74111205,-2.9685016,-1.6141804,-9.17967,0.35815078
3268162396.0,47.39705456851957,8.548778352168211,60.71293,0.034443248,-0.35386387,-1.2715375,-0.30629802,0.1574779,0.52532506,1499.0,1475.0,1585.0,1553.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,-0.20878461,0.20506689,0.48951444,-3.4905515,-1.8850926,-7.9343243,0.35803324
3268562398.0,47.39705798538534,8.548757620357557,60.741844,0.05696619,-0.35998943,-1.2715375,0.24759571,-0.14502731,-0.060479596,1466.0,1439.0,1577.0,1629.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,0.24943839,-0.11997927,-0.0697507,-3.69691,-0.10587454,-9.409188,0.363514
3269162396.0,47.39706458945746,8.548728947689224,60.769714,0.097875565,-0.37014994,-1.2715375,0.04098835,0.066029005,-0.16188629,1513.0,1504.0,1537.0,1488.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,-0.14662771,-0.06696193,-0.11965366,-3.31011,0.80097425,-8.819067,0.365512
3269562398.0,47.39706997466954,8.548711096875264,60.763756,0.092930414,-0.3897936,-1.2715375,0.14558624,-0.032224555,-0.07454033,1553.0,1529.0,1538.0,1498.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,0.038102098,0.035621934,-0.08053164,-3.2296042,-0.5553577,-9.111082,0.349064
3270162399.0,47.397079122558445,8.548684664425537,60.77749,0.08044211,-0.38662434,-1.2715375,0.042398974,0.028209852,0.005244349,1524.0,1541.0,1487.0,1524.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,0.07593462,-0.022065789,0.006509865,-3.2185745,0.12733433,-9.497053,0.362154
3270562397.0,47.3970845044049,8.548666689738482,60.76586,0.072332166,-0.40388194,-1.2715375,-0.009871695,-0.033219546,0.01439952,1510.0,1569.0,1506.0,1564.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,0.037265576,-0.103351764,-0.016078193,-3.2385397,-0.114201486,-10.584984,0.369358
3271162397.0,47.39709298048834,8.54863792004718,60.75412,0.08642208,-0.40404943,-1.2715375,-0.07167536,0.0024225917,0.025823643,1539.0,1526.0,1574.0,1485.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,-0.16187279,-0.03902178,0.0062307534,-4.1133966,0.3252433,-9.7962475,0.36880207
3271562396.0,47.39709828964929,8.548617970626031,60.74432,0.08272767,-0.42101946,-1.2715375,0.025595848,-0.019003093,-0.011122571,1550.0,1526.0,1528.0,1556.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,-0.0110469675,-0.018682277,-0.014493435,-3.6548371,-2.1544385,-10.108109,0.36311543
3272162396.0,47.397108212970586,8.548586520602509,60.768745,0.029889092,-0.4119686,-1.2715375,-0.08871476,-0.07740173,-0.016747275,1520.0,1534.0,1553.0,1493.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,-0.14032856,-0.047249384,-0.03458464,-3.1296573,0.44160104,-7.6321254,0.34066802
3272562397.0,47.39711459582579,8.54856729190923,60.75605,0.038016282,-0.42855987,-1.2715375,0.062025096,-0.07560294,-0.012643589,1545.0,1500.0,1519.0,1552.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,-0.085010484,-0.008485541,-0.008827056,-4.1793413,-0.61697495,-7.507289,0.329238
3273162396.0,47.397122061691725,8.548538778371132,60.743614,0.04012872,-0.4415107,-1.2715375,0.18383156,-0.059319124,-0.028674064,1597.0,1487.0,1498.0,1582.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,0.023571402,-0.1248088,0.0065683466,-3.2160287,-1.4123068,-7.696144,0.321814
3273562397.0,47.39712691833751,8.548518693688136,60.72791,0.04350014,-0.44012243,-1.2715375,0.07735292,0.0086295875,0.012188354,1587.0,1503.0,1476.0,1601.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,0.17085949,-0.0504727,0.012904013,-4.0194945,-2.9272623,-10.526066,0.33502
3274162398.0,47.39713517120184,8.548486549212916,60.72422,0.040576268,-0.44316941,-1.2715375,-0.23391135,-0.08091885,-0.0015352345,1540.0,1532.0,1505.0,1570.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,0.061565112,-0.09827269,0.015084528,-4.2919855,-1.4824183,-9.829742,0.32902402
3274562396.0,47.39714028812699,8.548464837076118,60.72936,0.04764205,-0.44152042,-1.2715375,-0.035287797,-0.017990211,0.016457202,1512.0,1562.0,1534.0,1540.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,-0.0013830023,-0.061628245,-0.033163317,-4.083349,0.48870796,-8.46211,0.3206287
3275162396.0,47.39714758378473,8.548431645470345,60.74489,0.07676662,-0.45409054,-1.2715375,0.04867443,-0.055236038,0.0250795,1537.0,1533.0,1496.0,1570.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,0.2773996,0.062834084,-0.02304438,-4.117547,0.043671906,-10.847181,0.34190762
3275562398.0,47.39715175172176,8.548409694262848,60.728447,0.05637604,-0.44865745,-1.2715375,-0.0959389,0.101686545,0.013685975,1529.0,1531.0,1587.0,1491.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,0.11368035,-0.0137330135,0.018775938,-4.2577176,-0.4514485,-7.7569637,0.342274
3276162398.0,47.3971591641869,8.548374646518404,60.674896,0.064457975,-0.45722416,-1.2715375,-0.056398325,-0.009789639,-0.004823495,1608.0,1491.0,1533.0,1582.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,0.08243612,-0.07928451,-0.011207237,-4.2985477,-0.6447524,-8.515101,0.350834
3276562398.0,47.39716458812994,8.548353070809187,60.665684,0.056806486,-0.4548149,-1.2715375,-0.03379874,0.0035223905,0.0017914362,1519.0,1573.0,1548.0,1529.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,-0.1568353,0.035186864,-0.0113160135,-3.450231,-0.83504325,-9.445831,0.32851797
3277162398.0,47.39717288989652,8.548316814662755,60.658974,0.0446286,-0.45674834,-1.2715375,0.050470743,-0.08912892,-0.0012599567,1523.0,1568.0,1589.0,1514.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,0.08335081,0.026866239,-0.0011615419,-4.2332654,-1.361404,-8.72766,0.33072734
3277562396.0,47.39717864024129,8.548292830813521,60.68347,0.049776223,-0.46040818,-1.2715375,0.004591702,-0.034150477,-0.02176229,1556.0,1480.0,1527.0,1525.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,0.02893429,-0.0323518,0.016995758,-4.329685,1.9246452,-6.9567547,0.32276863
3278162397.0,47.39718578899076,8.54825783126964,60.681,0.081295036,-0.47575217,-1.2715375,0.044973567,-0.032920714,0.01745361,1563.0,1516.0,1522.0,1560.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,-0.096249275,-0.017988596,0.041667614,-4.0687046,-1.7763141,-10.208864,0.33370262
3278562397.0,47.397190247135946,8.5482339598554,60.67251,0.07406971,-0.45217973,-1.2715375,0.05164154,0.049834132,-0.009487884,1499.0,1556.0,1556.0,1523.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,-0.0045181722,0.009755797,-0.04030588,-4.4076443,-0.7705731,-9.451935,0.34104407
3279162397.0,47.39719749232735,8.548197860528568,60.614006,0.08658573,-0.46975198,-1.2715375,-0.02576157,0.019679703,0.0020294809,1538.0,1564.0,1580.0,1546.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,0.018890563,-0.017577285,-0.036585238,-4.913079,-0.32172334,-6.755734,0.3248
3279562396.0,47.39720297318786,8.548173096361449,60.603546,0.06855352,-0.46545547,-1.2715375,0.13794798,0.0038597607,-0.008173596,1505.0,1591.0,1563.0,1539.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,0.23887922,-0.043642655,0.008982223,-3.7702713,-0.9860227,-9.378813,0.33278
3280162396.0,47.39721056542501,8.548139162521062,60.610863,0.07675553,-0.4748928,-1.2715375,0.036860544,0.0036664174,-0.031696133,1512.0,1581.0,1602.0,1495.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,-0.13577418,0.03124991,0.016510494,-4.327854,-0.316571,-7.5568433,0.34042197
3280562397.0,47.39721602769907,8.548116632753871,60.635635,0.04845589,-0.48122215,-1.2715375,-0.110843785,-0.007912012,-0.0058918954,1563.0,1525.0,1520.0,1557.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,0.153263,-0.035563592,0.03921864,-4.616441,-0.0642758,-6.2414293,0.328848
3281162397.0,47.39722436533145,8.548079366164805,60.608963,0.06750933,-0.46729866,-1.2715375,0.022959467,0.05808858,0.0044941646,1563.0,1526.0,1568.0,1537.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,-0.022192543,0.01775106,-0.005942363,-4.2958302,-2.6223564,-9.343922,0.34743
3281562396.0,47.3972305890998,8.54805325815572,60.602554,0.049112555,-0.45107993,-1.2715375,-0.0646741,0.04111276,0.0036476627,1529.0,1583.0,1586.0,1495.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,-0.100474484,-0.048543952,0.026594121,-4.7013893,-2.6000147,-8.347122,0.3280866
3282162398.0,47.39723786060709,8.548015941019951,60.6056,0.08152688,-0.47652778,-1.2715375,0.09028953,-0.078976996,0.011301843,1616.0,1482.0,1479.0,1622.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,0.048010573,-0.0016969119,0.0013450813,-4.1455526,-0.3176514,-9.127696,0.333192
3282562397.0,47.39724224701035,8.547991649718869,60.624905,0.07077152,-0.48655695,-1.2715375,-0.039922733,-0.03372037,0.0075673806,1558.0,1538.0,1545.0,1527.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,-0.05948814,0.014826731,0.012404763,-4.8859377,1.1222298,-9.413229,0.34034002
